,Year Drafted,Name,Draft Pick,Date,Game Result (W/L),Pass Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,QBR,Times Sacked,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Fumbles
230,2017,Deshaun Watson,12,2023-11-12,W,20,34,213,1,1,74.8,4,8,37,0,1
231,2017,DeShone Kizer,52,2017-09-10,L,20,30,222,1,1,85.7,7,5,17,1,0
232,2017,DeShone Kizer,52,2017-09-17,L,15,31,182,0,3,27.3,2,5,26,0,1
233,2017,DeShone Kizer,52,2017-09-24,L,22,47,242,2,3,50.1,1,7,44,1,1
234,2017,DeShone Kizer,52,2017-10-01,L,16,34,118,0,1,43.5,1,5,10,0,0
235,2017,DeShone Kizer,52,2017-10-08,L,8,17,87,0,1,38.1,1,6,29,0,1
236,2017,DeShone Kizer,52,2017-10-22,L,12,20,114,0,2,36.2,0,0,0,0,0
237,2017,DeShone Kizer,52,2017-10-29,L,18,34,179,0,0,68.1,3,5,18,1,0
238,2017,DeShone Kizer,52,2017-11-12,L,21,37,232,1,1,73.3,1,7,57,1,0
239,2017,DeShone Kizer,52,2017-11-19,L,16,32,179,1,2,51.4,5,5,22,0,3
240,2017,DeShone Kizer,52,2017-11-26,L,18,31,268,0,0,86.5,3,9,39,1,1
241,2017,DeShone Kizer,52,2017-12-03,L,15,32,215,1,1,66.5,3,5,46,0,1
242,2017,DeShone Kizer,52,2017-12-10,L,20,28,214,3,2,99.4,2,2,7,0,0
243,2017,DeShone Kizer,52,2017-12-17,L,20,37,146,0,2,41.0,2,7,35,0,1
244,2017,DeShone Kizer,52,2017-12-24,L,18,36,182,0,2,41.7,1,3,8,0,0
245,2017,DeShone Kizer,52,2017-12-31,L,16,30,314,2,1,98.5,6,6,61,0,0
246,2017,DeShone Kizer,52,2018-09-09,W,4,7,55,0,1,42.9,2,0,0,0,1
247,2017,DeShone Kizer,52,2018-12-09,W,0,0,0,0,0,0.0,0,1,-1,0,0
248,2017,DeShone Kizer,52,2018-12-30,L,16,35,132,0,1,44.0,2,4,40,0,0
249,2017,Davis Webb,87,2021-11-14,W,0,0,0,0,0,0.0,0,2,-3,0,0
250,2017,Davis Webb,87,2023-01-08,L,23,40,168,1,0,75.8,0,6,41,1,0
251,2017,Joshua Dobbs,135,2018-10-07,W,0,0,0,0,0,0.0,0,1,-3,0,0
252,2017,Joshua Dobbs,135,2018-10-28,W,0,0,0,0,0,0.0,0,1,-1,0,0
253,2017,Joshua Dobbs,135,2018-11-04,W,1,1,22,0,0,118.7,0,0,0,0,0
254,2017,Joshua Dobbs,135,2018-11-08,W,1,2,-3,0,0,56.2,0,0,0,0,0
255,2017,Joshua Dobbs,135,2018-12-09,L,4,9,24,0,1,12.0,0,2,15,0,0
256,2017,Joshua Dobbs,135,2021-01-03,L,4,5,2,0,0,79.2,0,2,20,0,0
257,2017,Joshua Dobbs,135,2022-12-29,L,20,39,232,1,1,67.5,2,3,12,0,2
258,2017,Joshua Dobbs,135,2023-01-07,L,20,29,179,1,1,82.4,4,5,32,0,2
259,2017,Joshua Dobbs,135,2023-09-10,L,21,30,132,0,0,78.7,3,3,-3,0,3
260,2017,Joshua Dobbs,135,2023-09-17,L,21,31,228,1,0,99.9,0,3,41,1,0
261,2017,Joshua Dobbs,135,2023-09-24,W,17,21,189,1,0,120.0,2,6,55,0,0
262,2017,Joshua Dobbs,135,2023-10-01,L,28,41,265,2,0,102.2,1,12,48,0,1
263,2017,Joshua Dobbs,135,2023-10-08,L,15,32,166,2,2,57.6,3,3,1,0,1
264,2017,Joshua Dobbs,135,2023-10-15,L,21,41,235,0,1,58.5,2,7,47,0,1
265,2017,Joshua Dobbs,135,2023-10-22,L,19,33,146,0,0,68.5,4,7,43,1,1
